Sheet number,Sheet name,Sheet title
122,AWAYWORK_PGC_ALL_3Y_PERIOD,"Proportion of employed who were away from work (FTE, PTE, OE) among postgraduate coursework students from all provider types by survey round, 2022-2024"
123,AWAYWORK_PGR_ALL_3Y_PERIOD,"Proportion of employed who were away from work (FTE, PTE, OE) among postgraduate research students from all provider types by survey round, 2022-2024"
124,FTE_UG_UNI_1Y_INST_FIG,"Proportion employed full-time, 2024, with 90% confidence intervals among undergraduates from universities by institution"
125,FTE_UG_UNI_3YP_INST_FIG,"Proportion employed full-time, 2022-2024, with 90% confidence intervals among undergraduates from universities by institution"
126,SAL_UG_UNI_1Y_INST_FIG,"Median annual full-time salaries ($), 2024, with 90% confidence intervals among undergraduates from universities by institution"
127,SAL_UG_UNI_3YP_INST_FIG,"Median annual full-time salaries ($), 2022-2024, with 90% confidence intervals among undergraduates from universities by institution"
128,FTE_UG_NUHEI_3YP_INST_FIG,"Proportion employed full-time, 2022-2024, with 90% confidence intervals among undergraduates from non-university higher education institutes (NUHEIs) by institution"
129,SAL_UG_NUHEI_3YP_INST_FIG,"Median annual full-time salaries ($), 2022-2024, with 90% confidence intervals among undergraduates from non-university higher education institutes (NUHEIs) by institution"
130,FTE_PGC_UNI_1Y_INST_FIG,"Proportion employed full-time, 2024, with 90% confidence intervals among postgraduate coursework students from universities by institution"
131,FTE_PGC_UNI_3YP_INST_FIG,"Proportion employed full-time, 2022-2024, with 90% confidence intervals among postgraduate coursework students from universities by institution"
132,FTE_PGC_NUHEI_3YP_INST_FIG,"Proportion employed full-time, 2022-2024, with 90% confidence intervals among postgraduate coursework students from non-university higher education institutes (NUHEIs) by institution"
133,FTE_PGR_UNI_3YP_INST_FIG,"Proportion employed full-time, 2022-2024, with 90% confidence intervals among postgraduate research students from universities by institution"
134,SAL_PGC_UNI_1Y_INST_FIG,"Median annual full-time salaries ($), 2024, with 90% confidence intervals among postgraduate coursework students from universities by institution"
135,SAL_PGC_UNI_3YP_INST_FIG,"Median annual full-time salaries ($), 2022-2024, with 90% confidence intervals among postgraduate coursework students from universities by institution"
136,SAL_PGC_NUHEI_3YP_INST_FIG,"Median annual full-time salaries ($), 2022-2024, with 90% confidence intervals among postgraduate coursework students from non-university higher education institutes (NUHEIs) by institution"
137,SAL_PGR_UNI_3YP_INST_FIG,"Median annual full-time salaries ($), 2022-2024, with 90% confidence intervals among postgraduate research students from universities by institution"
