Sheet number,Sheet name,Sheet title
113,FTS_PGC_ALL_1Y_BFOE_INT,"Short-term and medium-term international in further full time study, 2024, among postgraduate coursework graduates from all provider types by broad field of education"
114,FTS_PGR_ALL_1Y_BFOE_INT,"Short-term and medium-term international in further full time study, 2024, among postgraduate research graduates from all provider types by broad field of education"
115,FTS_UG_ALL_1Y_SG,"Short-term and medium-term domestic in further full time study, 2024, among undergraduates from all provider types by demographic group"
116,FTS_UG_ALL_1Y_FURFOE,"Current broad field of education (BFOE) destination among undergraduates and all provider types by short-term and medium-term engaged in further full time study, domestic, 2024"
117,FTS_PGC_ALL_1Y_FURFOE,"Current broad field of education (BFOE) destination among postgraduate coursework graduates and all provider types by short-term and medium-term engaged in further full time study, domestic, 2024"
118,FTS_PGR_ALL_1Y_FURFOE,"Current broad field of education (BFOE) destination among postgraduate research graduates and all provider types by short-term and medium-term engaged in further full time study, domestic, 2024"
119,FTS_UG_ALL_1Y_FURFOE_INT,"Current broad field of education (BFOE) destination among undergraduates and all provider types by short-term and medium-term engaged in further full time study, international, 2024"
120,FTS_PGC_ALL_1Y_FURFOE_INT,"Current broad field of education (BFOE) destination among postgraduate coursework graduates and all provider types by short-term and medium-term engaged in further full time study, international, 2024"
121,FTS_PGR_ALL_1Y_FURFOE_INT,"Current broad field of education (BFOE) destination among postgraduate research graduates and all provider types by short-term and medium-term engaged in further full time study, international, 2024"
122,LFT_PGC_ALL_1Y_E315,"Domestic labour force transition, 2024, among postgraduate coursework graduates from all provider types by gender"
123,LFT_PGR_ALL_1Y_E315,"Domestic labour force transition, 2024, among postgraduate research graduates from all provider types by gender"
124,LFT_UG_ALL_1Y_E315,"Domestic labour force transition, 2024, among undergraduates from all provider types by gender"
125,OCC_PGC_ALL_1Y_STMT2_E315,"Proportion of employed graduates, by gender, working in occupation groups, 2024, among postgraduate coursework graduates and all provider types by short-term and medium-term domestic employment outcomes"
126,OCC_PGC_ALL_1Y_STMT2_E942,"Proportion of employed graduates, by citizenship indicator, working in occupation groups, 2024, among postgraduate coursework graduates and all provider types by short-term and medium-term employment outcomes"
127,OCC_PGR_ALL_1Y_STMT2_E315,"Proportion of employed graduates, by gender, working in occupation groups, 2024, among postgraduate research graduates and all provider types by short-term and medium-term domestic employment outcomes"
128,OCC_PGR_ALL_1Y_STMT2_E942,"Proportion of employed graduates, by citizenship indicator, working in occupation groups, 2024, among postgraduate research graduates and all provider types by short-term and medium-term employment outcomes"
